Date,Dividends
2016-11-23,0.052000
2016-10-24,0.052000
2016-09-14,0.056000
2016-08-24,0.056000
2016-07-22,0.056000
2016-06-15,0.052000
2016-05-24,0.052000
2016-04-22,0.052000
2016-03-16,0.054000
2016-02-22,0.054000
2016-01-22,0.054000
2015-12-29,0.054000
2015-11-23,0.054000
2015-10-23,0.054000
2015-09-16,0.056000
2015-08-24,0.056000
2015-07-24,0.062000
2015-06-17,0.062000
2015-05-22,0.062000
2015-04-23,0.062000
2015-03-18,0.062000
2015-02-20,0.062000
2015-01-23,0.062000
2014-12-29,0.062000
2014-11-21,0.062000
2014-10-24,0.062000
2014-09-17,0.062000
2014-08-22,0.062000
2014-07-24,0.062000
2014-06-18,0.062000
2014-05-23,0.062000
2014-04-23,0.062000
2014-03-19,0.062000
2014-02-21,0.062000
